"division","state","years","sex","measure","participants"
"Victoria","Indi","70-74","female","Participation rate (%)",90.7
"Victoria","Isaacs","70-74","female","Total participants",2646
"Victoria","Isaacs","70-74","female","Eligible participants",2994
"Victoria","Isaacs","70-74","female","Participation rate (%)",88.4
"Victoria","Jagajaga","70-74","female","Total participants",2819
"Victoria","Jagajaga","70-74","female","Eligible participants",3080
"Victoria","Jagajaga","70-74","female","Participation rate (%)",91.5
"Victoria","Kooyong","70-74","female","Total participants",2684
"Victoria","Kooyong","70-74","female","Eligible participants",2939
"Victoria","Kooyong","70-74","female","Participation rate (%)",91.3
"Victoria","Lalor","70-74","female","Total participants",2018
"Victoria","Lalor","70-74","female","Eligible participants",2320
"Victoria","Lalor","70-74","female","Participation rate (%)",87
"Victoria","La Trobe","70-74","female","Total participants",2299
"Victoria","La Trobe","70-74","female","Eligible participants",2559
"Victoria","La Trobe","70-74","female","Participation rate (%)",89.8
"Victoria","Mallee","70-74","female","Total participants",3010
"Victoria","Mallee","70-74","female","Eligible participants",3354
"Victoria","Mallee","70-74","female","Participation rate (%)",89.7
"Victoria","Maribyrnong","70-74","female","Total participants",2689
"Victoria","Maribyrnong","70-74","female","Eligible participants",3106
"Victoria","Maribyrnong","70-74","female","Participation rate (%)",86.6
"Victoria","McEwen","70-74","female","Total participants",2735
"Victoria","McEwen","70-74","female","Eligible participants",3026
"Victoria","McEwen","70-74","female","Participation rate (%)",90.4
"Victoria","McMillan","70-74","female","Total participants",3874
"Victoria","McMillan","70-74","female","Eligible participants",4241
"Victoria","McMillan","70-74","female","Participation rate (%)",91.3
"Victoria","Melbourne","70-74","female","Total participants",1708
"Victoria","Melbourne","70-74","female","Eligible participants",1974
"Victoria","Melbourne","70-74","female","Participation rate (%)",86.5
"Victoria","Melbourne Ports","70-74","female","Total participants",2147
"Victoria","Melbourne Ports","70-74","female","Eligible participants",2454
"Victoria","Melbourne Ports","70-74","female","Participation rate (%)",87.5
"Victoria","Menzies","70-74","female","Total participants",3270
"Victoria","Menzies","70-74","female","Eligible participants",3625
"Victoria","Menzies","70-74","female","Participation rate (%)",90.2
"Victoria","Murray","70-74","female","Total participants",3401
"Victoria","Murray","70-74","female","Eligible participants",3771
"Victoria","Murray","70-74","female","Participation rate (%)",90.2
"Victoria","Scullin","70-74","female","Total participants",2434
"Victoria","Scullin","70-74","female","Eligible participants",2796
"Victoria","Scullin","70-74","female","Participation rate (%)",87.1
"Victoria","Wannon","70-74","female","Total participants",3297
"Victoria","Wannon","70-74","female","Eligible participants",3614
"Victoria","Wannon","70-74","female","Participation rate (%)",91.2
"Victoria","Wills","70-74","female","Total participants",1999
"Victoria","Wills","70-74","female","Eligible participants",2319
"Victoria","Wills","70-74","female","Participation rate (%)",86.2
"Queensland","Blair","70-74","female","Total participants",2410
"Queensland","Blair","70-74","female","Eligible participants",2673
"Queensland","Blair","70-74","female","Participation rate (%)",90.2
"Queensland","Bonner","70-74","female","Total participants",2553
"Queensland","Bonner","70-74","female","Eligible participants",2801
"Queensland","Bonner","70-74","female","Participation rate (%)",91.1
"Queensland","Bowman","70-74","female","Total participants",3245
"Queensland","Bowman","70-74","female","Eligible participants",3550
"Queensland","Bowman","70-74","female","Participation rate (%)",91.4
"Queensland","Brisbane","70-74","female","Total participants",1727
"Queensland","Brisbane","70-74","female","Eligible participants",1917
"Queensland","Brisbane","70-74","female","Participation rate (%)",90.1
"Queensland","Capricornia","70-74","female","Total participants",2258
"Queensland","Capricornia","70-74","female","Eligible participants",2558
"Queensland","Capricornia","70-74","female","Participation rate (%)",88.3
"Queensland","Dawson","70-74","female","Total participants",2365
"Queensland","Dawson","70-74","female","Eligible participants",2682
"Queensland","Dawson","70-74","female","Participation rate (%)",88.2
"Queensland","Dickson","70-74","female","Total participants",2439
"Queensland","Dickson","70-74","female","Eligible participants",2650
"Queensland","Dickson","70-74","female","Participation rate (%)",92
"Queensland","Fadden","70-74","female","Total participants",3317
"Queensland","Fadden","70-74","female","Eligible participants",3692
"Queensland","Fadden","70-74","female","Participation rate (%)",89.8
"Queensland","Fairfax","70-74","female","Total participants",3587
"Queensland","Fairfax","70-74","female","Eligible participants",3953
"Queensland","Fairfax","70-74","female","Participation rate (%)",90.7
"Queensland","Fisher","70-74","female","Total participants",3762
"Queensland","Fisher","70-74","female","Eligible participants",4074
"Queensland","Fisher","70-74","female","Participation rate (%)",92.3
"Queensland","Flynn","70-74","female","Total participants",2237
"Queensland","Flynn","70-74","female","Eligible participants",2460
"Queensland","Flynn","70-74","female","Participation rate (%)",90.9
"Queensland","Forde","70-74","female","Total participants",2471
"Queensland","Forde","70-74","female","Eligible participants",2766
"Queensland","Forde","70-74","female","Participation rate (%)",89.3
"Queensland","Griffith","70-74","female","Total participants",1777
"Queensland","Griffith","70-74","female","Eligible participants",2000
"Queensland","Griffith","70-74","female","Participation rate (%)",88.9
"Queensland","Groom","70-74","female","Total participants",3058
"Queensland","Groom","70-74","female","Eligible participants",3345
"Queensland","Groom","70-74","female","Participation rate (%)",91.4
"Queensland","Herbert","70-74","female","Total participants",2080
"Queensland","Herbert","70-74","female","Eligible participants",2361
"Queensland","Herbert","70-74","female","Participation rate (%)",88.1
"Queensland","Hinkler","70-74","female","Total participants",4383
"Queensland","Hinkler","70-74","female","Eligible participants",4868
"Queensland","Hinkler","70-74","female","Participation rate (%)",90
"Queensland","Kennedy","70-74","female","Total participants",2676
"Queensland","Kennedy","70-74","female","Eligible participants",3150
"Queensland","Kennedy","70-74","female","Participation rate (%)",85
"Queensland","Leichhardt","70-74","female","Total participants",2179
"Queensland","Leichhardt","70-74","female","Eligible participants",2631
"Queensland","Leichhardt","70-74","female","Participation rate (%)",82.8
"Queensland","Lilley","70-74","female","Total participants",2625
"Queensland","Lilley","70-74","female","Eligible participants",2887
"Queensland","Lilley","70-74","female","Participation rate (%)",90.9
"Queensland","Longman","70-74","female","Total participants",3466
"Queensland","Longman","70-74","female","Eligible participants",3840
"Queensland","Longman","70-74","female","Participation rate (%)",90.3
"Queensland","Maranoa","70-74","female","Total participants",3179
"Queensland","Maranoa","70-74","female","Eligible participants",3489
"Queensland","Maranoa","70-74","female","Participation rate (%)",91.1
"Queensland","McPherson","70-74","female","Total participants",3068
"Queensland","McPherson","70-74","female","Eligible participants",3400
"Queensland","McPherson","70-74","female","Participation rate (%)",90.2
"Queensland","Moncrieff","70-74","female","Total participants",3355
"Queensland","Moncrieff","70-74","female","Eligible participants",3762
"Queensland","Moncrieff","70-74","female","Participation rate (%)",89.2
"Queensland","Moreton","70-74","female","Total participants",2202
"Queensland","Moreton","70-74","female","Eligible participants",2460
"Queensland","Moreton","70-74","female","Participation rate (%)",89.5
"Queensland","Oxley","70-74","female","Total participants",1902
"Queensland","Oxley","70-74","female","Eligible participants",2181
"Queensland","Oxley","70-74","female","Participation rate (%)",87.2
"Queensland","Petrie","70-74","female","Total participants",3305
"Queensland","Petrie","70-74","female","Eligible participants",3618
"Queensland","Petrie","70-74","female","Participation rate (%)",91.3
"Queensland","Rankin","70-74","female","Total participants",2103
"Queensland","Rankin","70-74","female","Eligible participants",2393
"Queensland","Rankin","70-74","female","Participation rate (%)",87.9
"Queensland","Ryan","70-74","female","Total participants",2609
"Queensland","Ryan","70-74","female","Eligible participants",2809
"Queensland","Ryan","70-74","female","Participation rate (%)",92.9
"Queensland","Wide Bay","70-74","female","Total participants",3996
"Queensland","Wide Bay","70-74","female","Eligible participants",4428
"Queensland","Wide Bay","70-74","female","Participation rate (%)",90.2
"Queensland","Wright","70-74","female","Total participants",2651
"Queensland","Wright","70-74","female","Eligible participants",2944
"Queensland","Wright","70-74","female","Participation rate (%)",90
"South Australia","Adelaide","70-74","female","Total participants",2716
"South Australia","Adelaide","70-74","female","Eligible participants",3009
"South Australia","Adelaide","70-74","female","Participation rate (%)",90.3
"South Australia","Barker","70-74","female","Total participants",3544
"South Australia","Barker","70-74","female","Eligible participants",3927
"South Australia","Barker","70-74","female","Participation rate (%)",90.2
"South Australia","Boothby","70-74","female","Total participants",3295
"South Australia","Boothby","70-74","female","Eligible participants",3577
"South Australia","Boothby","70-74","female","Participation rate (%)",92.1
"South Australia","Grey","70-74","female","Total participants",3447
"South Australia","Grey","70-74","female","Eligible participants",3834
"South Australia","Grey","70-74","female","Participation rate (%)",89.9
"South Australia","Hindmarsh","70-74","female","Total participants",3399
"South Australia","Hindmarsh","70-74","female","Eligible participants",3733
"South Australia","Hindmarsh","70-74","female","Participation rate (%)",91.1
"South Australia","Kingston","70-74","female","Total participants",2999
"South Australia","Kingston","70-74","female","Eligible participants",3288
"South Australia","Kingston","70-74","female","Participation rate (%)",91.2
"South Australia","Makin","70-74","female","Total participants",3259
"South Australia","Makin","70-74","female","Eligible participants",3569
"South Australia","Makin","70-74","female","Participation rate (%)",91.3
"South Australia","Mayo","70-74","female","Total participants",4025
"South Australia","Mayo","70-74","female","Eligible participants",4392
"South Australia","Mayo","70-74","female","Participation rate (%)",91.6
"South Australia","Port Adelaide","70-74","female","Total participants",2499
"South Australia","Port Adelaide","70-74","female","Eligible participants",2850
"South Australia","Port Adelaide","70-74","female","Participation rate (%)",87.7
"South Australia","Sturt","70-74","female","Total participants",3502
"South Australia","Sturt","70-74","female","Eligible participants",3843
"South Australia","Sturt","70-74","female","Participation rate (%)",91.1
"South Australia","Wakefield","70-74","female","Total participants",2767
"South Australia","Wakefield","70-74","female","Eligible participants",3105
"South Australia","Wakefield","70-74","female","Participation rate (%)",89.1
"Western Australia","Brand","70-74","female","Total participants",2197
"Western Australia","Brand","70-74","female","Eligible participants",2494
"Western Australia","Brand","70-74","female","Participation rate (%)",88.1
"Western Australia","Burt","70-74","female","Total participants",2060
"Western Australia","Burt","70-74","female","Eligible participants",2320
"Western Australia","Burt","70-74","female","Participation rate (%)",88.8
"Western Australia","Canning","70-74","female","Total participants",3462
"Western Australia","Canning","70-74","female","Eligible participants",3816
"Western Australia","Canning","70-74","female","Participation rate (%)",90.7
"Western Australia","Cowan","70-74","female","Total participants",2063
"Western Australia","Cowan","70-74","female","Eligible participants",2327
"Western Australia","Cowan","70-74","female","Participation rate (%)",88.7
"Western Australia","Curtin","70-74","female","Total participants",2708
"Western Australia","Curtin","70-74","female","Eligible participants",2958
"Western Australia","Curtin","70-74","female","Participation rate (%)",91.5
"Western Australia","Durack","70-74","female","Total participants",1732
"Western Australia","Durack","70-74","female","Eligible participants",2057
"Western Australia","Durack","70-74","female","Participation rate (%)",84.2
"Western Australia","Forrest","70-74","female","Total participants",2909
"Western Australia","Forrest","70-74","female","Eligible participants",3195
"Western Australia","Forrest","70-74","female","Participation rate (%)",91
"Western Australia","Fremantle","70-74","female","Total participants",2163
"Western Australia","Fremantle","70-74","female","Eligible participants",2433
"Western Australia","Fremantle","70-74","female","Participation rate (%)",88.9
"Western Australia","Hasluck","70-74","female","Total participants",2486
"Western Australia","Hasluck","70-74","female","Eligible participants",2809
"Western Australia","Hasluck","70-74","female","Participation rate (%)",88.5
"Western Australia","Moore","70-74","female","Total participants",2310
"Western Australia","Moore","70-74","female","Eligible participants",2514
"Western Australia","Moore","70-74","female","Participation rate (%)",91.9
"Western Australia","O'Connor","70-74","female","Total participants",2728
"Western Australia","O'Connor","70-74","female","Eligible participants",3094
"Western Australia","O'Connor","70-74","female","Participation rate (%)",88.2
"Western Australia","Pearce","70-74","female","Total participants",2234
"Western Australia","Pearce","70-74","female","Eligible participants",2518
"Western Australia","Pearce","70-74","female","Participation rate (%)",88.7
"Western Australia","Perth","70-74","female","Total participants",2043
"Western Australia","Perth","70-74","female","Eligible participants",2321
"Western Australia","Perth","70-74","female","Participation rate (%)",88
"Western Australia","Stirling","70-74","female","Total participants",2564
"Western Australia","Stirling","70-74","female","Eligible participants",2911
"Western Australia","Stirling","70-74","female","Participation rate (%)",88.1
"Western Australia","Swan","70-74","female","Total participants",2128
"Western Australia","Swan","70-74","female","Eligible participants",2388
"Western Australia","Swan","70-74","female","Participation rate (%)",89.1
"Western Australia","Tangney","70-74","female","Total participants",2579
"Western Australia","Tangney","70-74","female","Eligible participants",2810
"Western Australia","Tangney","70-74","female","Participation rate (%)",91.8
"Tasmania","Bass","70-74","female","Total participants",2265
"Tasmania","Bass","70-74","female","Eligible participants",2521
"Tasmania","Bass","70-74","female","Participation rate (%)",89.8
"Tasmania","Braddon","70-74","female","Total participants",2354
"Tasmania","Braddon","70-74","female","Eligible participants",2639
"Tasmania","Braddon","70-74","female","Participation rate (%)",89.2
"Tasmania","Denison","70-74","female","Total participants",2124
"Tasmania","Denison","70-74","female","Eligible participants",2349
"Tasmania","Denison","70-74","female","Participation rate (%)",90.4
"Tasmania","Franklin","70-74","female","Total participants",2490
"Tasmania","Franklin","70-74","female","Eligible participants",2742
"Tasmania","Franklin","70-74","female","Participation rate (%)",90.8
"Tasmania","Lyons","70-74","female","Total participants",2562
"Tasmania","Lyons","70-74","female","Eligible participants",2883
"Tasmania","Lyons","70-74","female","Participation rate (%)",88.9
"Northern Territory","Lingiari","70-74","female","Total participants",551
"Northern Territory","Lingiari","70-74","female","Eligible participants",848
"Northern Territory","Lingiari","70-74","female","Participation rate (%)",65
"Northern Territory","Solomon","70-74","female","Total participants",853
"Northern Territory","Solomon","70-74","female","Eligible participants",1056
"Northern Territory","Solomon","70-74","female","Participation rate (%)",80.8
"Australian Capital Territory","Canberra","70-74","female","Total participants",3535
"Australian Capital Territory","Canberra","70-74","female","Eligible participants",3858
"Australian Capital Territory","Canberra","70-74","female","Participation rate (%)",91.6
"Australian Capital Territory","Fenner","70-74","female","Total participants",2732
"Australian Capital Territory","Fenner","70-74","female","Eligible participants",3024
"Australian Capital Territory","Fenner","70-74","female","Participation rate (%)",90.3
"New South Wales","Banks","75-79","female","Total participants",2085
"New South Wales","Banks","75-79","female","Eligible participants",2329
"New South Wales","Banks","75-79","female","Participation rate (%)",89.5
"New South Wales","Barton","75-79","female","Total participants",1979
"New South Wales","Barton","75-79","female","Eligible participants",2339
"New South Wales","Barton","75-79","female","Participation rate (%)",84.6
"New South Wales","Bennelong","75-79","female","Total participants",1922
"New South Wales","Bennelong","75-79","female","Eligible participants",2145
"New South Wales","Bennelong","75-79","female","Participation rate (%)",89.6
"New South Wales","Berowra","75-79","female","Total participants",2050
"New South Wales","Berowra","75-79","female","Eligible participants",2221
"New South Wales","Berowra","75-79","female","Participation rate (%)",92.3
"New South Wales","Blaxland","75-79","female","Total participants",1527
"New South Wales","Blaxland","75-79","female","Eligible participants",1823
"New South Wales","Blaxland","75-79","female","Participation rate (%)",83.8
"New South Wales","Bradfield","75-79","female","Total participants",2285
"New South Wales","Bradfield","75-79","female","Eligible participants",2487
"New South Wales","Bradfield","75-79","female","Participation rate (%)",91.9
"New South Wales","Calare","75-79","female","Total participants",2422
"New South Wales","Calare","75-79","female","Eligible participants",2729
"New South Wales","Calare","75-79","female","Participation rate (%)",88.8
"New South Wales","Chifley","75-79","female","Total participants",1374
"New South Wales","Chifley","75-79","female","Eligible participants",1608
"New South Wales","Chifley","75-79","female","Participation rate (%)",85.4
"New South Wales","Cook","75-79","female","Total participants",2307
"New South Wales","Cook","75-79","female","Eligible participants",2527
"New South Wales","Cook","75-79","female","Participation rate (%)",91.3
"New South Wales","Cowper","75-79","female","Total participants",3272
"New South Wales","Cowper","75-79","female","Eligible participants",3603
"New South Wales","Cowper","75-79","female","Participation rate (%)",90.8
"New South Wales","Cunningham","75-79","female","Total participants",2287
"New South Wales","Cunningham","75-79","female","Eligible participants",2587
"New South Wales","Cunningham","75-79","female","Participation rate (%)",88.4
"New South Wales","Dobell","75-79","female","Total participants",2564
"New South Wales","Dobell","75-79","female","Eligible participants",2853
"New South Wales","Dobell","75-79","female","Participation rate (%)",89.9
"New South Wales","Eden-Monaro","75-79","female","Total participants",2095
"New South Wales","Eden-Monaro","75-79","female","Eligible participants",2393
"New South Wales","Eden-Monaro","75-79","female","Participation rate (%)",87.5
"New South Wales","Farrer","75-79","female","Total participants",2680
"New South Wales","Farrer","75-79","female","Eligible participants",3028
"New South Wales","Farrer","75-79","female","Participation rate (%)",88.5
"New South Wales","Fowler","75-79","female","Total participants",1542
"New South Wales","Fowler","75-79","female","Eligible participants",1940
"New South Wales","Fowler","75-79","female","Participation rate (%)",79.5
"New South Wales","Gilmore","75-79","female","Total participants",3365
"New South Wales","Gilmore","75-79","female","Eligible participants",3706
"New South Wales","Gilmore","75-79","female","Participation rate (%)",90.8
"New South Wales","Grayndler","75-79","female","Total participants",1339
"New South Wales","Grayndler","75-79","female","Eligible participants",1584
"New South Wales","Grayndler","75-79","female","Participation rate (%)",84.5
"New South Wales","Greenway","75-79","female","Total participants",1177
"New South Wales","Greenway","75-79","female","Eligible participants",1360
"New South Wales","Greenway","75-79","female","Participation rate (%)",86.5
"New South Wales","Hughes","75-79","female","Total participants",1610
"New South Wales","Hughes","75-79","female","Eligible participants",1760
"New South Wales","Hughes","75-79","female","Participation rate (%)",91.5
"New South Wales","Hume","75-79","female","Total participants",1777
"New South Wales","Hume","75-79","female","Eligible participants",2001
"New South Wales","Hume","75-79","female","Participation rate (%)",88.8
"New South Wales","Hunter","75-79","female","Total participants",2306
"New South Wales","Hunter","75-79","female","Eligible participants",2555
"New South Wales","Hunter","75-79","female","Participation rate (%)",90.3
"New South Wales","Kingsford Smith","75-79","female","Total participants",1972
"New South Wales","Kingsford Smith","75-79","female","Eligible participants",2276
"New South Wales","Kingsford Smith","75-79","female","Participation rate (%)",86.6
"New South Wales","Lindsay","75-79","female","Total participants",1553
"New South Wales","Lindsay","75-79","female","Eligible participants",1752
"New South Wales","Lindsay","75-79","female","Participation rate (%)",88.6
"New South Wales","Lyne","75-79","female","Total participants",3429
"New South Wales","Lyne","75-79","female","Eligible participants",3742
"New South Wales","Lyne","75-79","female","Participation rate (%)",91.6
"New South Wales","Macarthur","75-79","female","Total participants",1304
"New South Wales","Macarthur","75-79","female","Eligible participants",1505
"New South Wales","Macarthur","75-79","female","Participation rate (%)",86.6
"New South Wales","Mackellar","75-79","female","Total participants",2397
"New South Wales","Mackellar","75-79","female","Eligible participants",2614
"New South Wales","Mackellar","75-79","female","Participation rate (%)",91.7
"New South Wales","Macquarie","75-79","female","Total participants",1944
"New South Wales","Macquarie","75-79","female","Eligible participants",2136
"New South Wales","Macquarie","75-79","female","Participation rate (%)",91
"New South Wales","McMahon","75-79","female","Total participants",1643
"New South Wales","McMahon","75-79","female","Eligible participants",1906
"New South Wales","McMahon","75-79","female","Participation rate (%)",86.2
"New South Wales","Mitchell","75-79","female","Total participants",1679
"New South Wales","Mitchell","75-79","female","Eligible participants",1820
"New South Wales","Mitchell","75-79","female","Participation rate (%)",92.3
"New South Wales","Newcastle","75-79","female","Total participants",1950
"New South Wales","Newcastle","75-79","female","Eligible participants",2130
"New South Wales","Newcastle","75-79","female","Participation rate (%)",91.5
"New South Wales","New England","75-79","female","Total participants",2715
"New South Wales","New England","75-79","female","Eligible participants",3017
"New South Wales","New England","75-79","female","Participation rate (%)",90
"New South Wales","North Sydney","75-79","female","Total participants",1895
"New South Wales","North Sydney","75-79","female","Eligible participants",2088
"New South Wales","North Sydney","75-79","female","Participation rate (%)",90.8
"New South Wales","Page","75-79","female","Total participants",2815
"New South Wales","Page","75-79","female","Eligible participants",3116
"New South Wales","Page","75-79","female","Participation rate (%)",90.3
"New South Wales","Parkes","75-79","female","Total participants",2357
"New South Wales","Parkes","75-79","female","Eligible participants",2674
"New South Wales","Parkes","75-79","female","Participation rate (%)",88.1
"New South Wales","Parramatta","75-79","female","Total participants",1501
"New South Wales","Parramatta","75-79","female","Eligible participants",1729
"New South Wales","Parramatta","75-79","female","Participation rate (%)",86.8
"New South Wales","Paterson","75-79","female","Total participants",2404
"New South Wales","Paterson","75-79","female","Eligible participants",2667
"New South Wales","Paterson","75-79","female","Participation rate (%)",90.1
"New South Wales","Reid","75-79","female","Total participants",1703
"New South Wales","Reid","75-79","female","Eligible participants",1976
"New South Wales","Reid","75-79","female","Participation rate (%)",86.2
"New South Wales","Richmond","75-79","female","Total participants",2868
"New South Wales","Richmond","75-79","female","Eligible participants",3189
"New South Wales","Richmond","75-79","female","Participation rate (%)",89.9
"New South Wales","Riverina","75-79","female","Total participants",2666
"New South Wales","Riverina","75-79","female","Eligible participants",2961
"New South Wales","Riverina","75-79","female","Participation rate (%)",90
"New South Wales","Robertson","75-79","female","Total participants",2723
"New South Wales","Robertson","75-79","female","Eligible participants",3007
"New South Wales","Robertson","75-79","female","Participation rate (%)",90.6
"New South Wales","Shortland","75-79","female","Total participants",2821
"New South Wales","Shortland","75-79","female","Eligible participants",3094
"New South Wales","Shortland","75-79","female","Participation rate (%)",91.2
"New South Wales","Sydney","75-79","female","Total participants",959
"New South Wales","Sydney","75-79","female","Eligible participants",1178
"New South Wales","Sydney","75-79","female","Participation rate (%)",81.4
"New South Wales","Warringah","75-79","female","Total participants",1951
"New South Wales","Warringah","75-79","female","Eligible participants",2148
"New South Wales","Warringah","75-79","female","Participation rate (%)",90.8
"New South Wales","Watson","75-79","female","Total participants",1722
"New South Wales","Watson","75-79","female","Eligible participants",2048
"New South Wales","Watson","75-79","female","Participation rate (%)",84.1
"New South Wales","Wentworth","75-79","female","Total participants",1734
"New South Wales","Wentworth","75-79","female","Eligible participants",1976
"New South Wales","Wentworth","75-79","female","Participation rate (%)",87.8
"New South Wales","Werriwa","75-79","female","Total participants",1332
"New South Wales","Werriwa","75-79","female","Eligible participants",1608
"New South Wales","Werriwa","75-79","female","Participation rate (%)",82.8
"New South Wales","Whitlam","75-79","female","Total participants",2808
"New South Wales","Whitlam","75-79","female","Eligible participants",3126
"New South Wales","Whitlam","75-79","female","Participation rate (%)",89.8
"Victoria","Aston","75-79","female","Total participants",1679
"Victoria","Aston","75-79","female","Eligible participants",1919
"Victoria","Aston","75-79","female","Participation rate (%)",87.5
"Victoria","Ballarat","75-79","female","Total participants",2180
"Victoria","Ballarat","75-79","female","Eligible participants",2405
"Victoria","Ballarat","75-79","female","Participation rate (%)",90.6
"Victoria","Batman","75-79","female","Total participants",1823
"Victoria","Batman","75-79","female","Eligible participants",2133
"Victoria","Batman","75-79","female","Participation rate (%)",85.5
"Victoria","Bendigo","75-79","female","Total participants",2414
"Victoria","Bendigo","75-79","female","Eligible participants",2646
"Victoria","Bendigo","75-79","female","Participation rate (%)",91.2
"Victoria","Bruce","75-79","female","Total participants",2328
"Victoria","Bruce","75-79","female","Eligible participants",2664
"Victoria","Bruce","75-79","female","Participation rate (%)",87.4
"Victoria","Calwell","75-79","female","Total participants",1442
"Victoria","Calwell","75-79","female","Eligible participants",1730
"Victoria","Calwell","75-79","female","Participation rate (%)",83.4
"Victoria","Casey","75-79","female","Total participants",1783
"Victoria","Casey","75-79","female","Eligible participants",1990
"Victoria","Casey","75-79","female","Participation rate (%)",89.6
"Victoria","Chisholm","75-79","female","Total participants",2441
"Victoria","Chisholm","75-79","female","Eligible participants",2751
"Victoria","Chisholm","75-79","female","Participation rate (%)",88.7
"Victoria","Corangamite","75-79","female","Total participants",2323
"Victoria","Corangamite","75-79","female","Eligible participants",2560
"Victoria","Corangamite","75-79","female","Participation rate (%)",90.7
"Victoria","Corio","75-79","female","Total participants",2404
"Victoria","Corio","75-79","female","Eligible participants",2701
"Victoria","Corio","75-79","female","Participation rate (%)",89
"Victoria","Deakin","75-79","female","Total participants",2339
"Victoria","Deakin","75-79","female","Eligible participants",2574
"Victoria","Deakin","75-79","female","Participation rate (%)",90.9
"Victoria","Dunkley","75-79","female","Total participants",2414
"Victoria","Dunkley","75-79","female","Eligible participants",2734
"Victoria","Dunkley","75-79","female","Participation rate (%)",88.3
"Victoria","Flinders","75-79","female","Total participants",3011
"Victoria","Flinders","75-79","female","Eligible participants",3382
"Victoria","Flinders","75-79","female","Participation rate (%)",89
"Victoria","Gellibrand","75-79","female","Total participants",1831
"Victoria","Gellibrand","75-79","female","Eligible participants",2153
"Victoria","Gellibrand","75-79","female","Participation rate (%)",85
"Victoria","Gippsland","75-79","female","Total participants",2504
"Victoria","Gippsland","75-79","female","Eligible participants",2783
"Victoria","Gippsland","75-79","female","Participation rate (%)",90
"Victoria","Goldstein","75-79","female","Total participants",2080
"Victoria","Goldstein","75-79","female","Eligible participants",2335
"Victoria","Goldstein","75-79","female","Participation rate (%)",89.1
"Victoria","Gorton","75-79","female","Total participants",1067
"Victoria","Gorton","75-79","female","Eligible participants",1257
"Victoria","Gorton","75-79","female","Participation rate (%)",84.9
"Victoria","Higgins","75-79","female","Total participants",1929
"Victoria","Higgins","75-79","female","Eligible participants",2200
"Victoria","Higgins","75-79","female","Participation rate (%)",87.7
"Victoria","Holt","75-79","female","Total participants",1355
"Victoria","Holt","75-79","female","Eligible participants",1600
"Victoria","Holt","75-79","female","Participation rate (%)",84.7
"Victoria","Hotham","75-79","female","Total participants",2031
"Victoria","Hotham","75-79","female","Eligible participants",2336
"Victoria","Hotham","75-79","female","Participation rate (%)",86.9
"Victoria","Indi","75-79","female","Total participants",2388
"Victoria","Indi","75-79","female","Eligible participants",2651
"Victoria","Indi","75-79","female","Participation rate (%)",90.1
"Victoria","Isaacs","75-79","female","Total participants",1838
"Victoria","Isaacs","75-79","female","Eligible participants",2112
"Victoria","Isaacs","75-79","female","Participation rate (%)",87
"Victoria","Jagajaga","75-79","female","Total participants",1911
"Victoria","Jagajaga","75-79","female","Eligible participants",2155
"Victoria","Jagajaga","75-79","female","Participation rate (%)",88.7
"Victoria","Kooyong","75-79","female","Total participants",1977
"Victoria","Kooyong","75-79","female","Eligible participants",2180
"Victoria","Kooyong","75-79","female","Participation rate (%)",90.7
"Victoria","Lalor","75-79","female","Total participants",1221
"Victoria","Lalor","75-79","female","Eligible participants",1416
"Victoria","Lalor","75-79","female","Participation rate (%)",86.2
"Victoria","La Trobe","75-79","female","Total participants",1480
"Victoria","La Trobe","75-79","female","Eligible participants",1617
"Victoria","La Trobe","75-79","female","Participation rate (%)",91.5
"Victoria","Mallee","75-79","female","Total participants",2521
"Victoria","Mallee","75-79","female","Eligible participants",2835
"Victoria","Mallee","75-79","female","Participation rate (%)",88.9
"Victoria","Maribyrnong","75-79","female","Total participants",2201
"Victoria","Maribyrnong","75-79","female","Eligible participants",2572
"Victoria","Maribyrnong","75-79","female","Participation rate (%)",85.6
"Victoria","McEwen","75-79","female","Total participants",1570
"Victoria","McEwen","75-79","female","Eligible participants",1769
"Victoria","McEwen","75-79","female","Participation rate (%)",88.8
"Victoria","McMillan","75-79","female","Total participants",2594
"Victoria","McMillan","75-79","female","Eligible participants",2907
"Victoria","McMillan","75-79","female","Participation rate (%)",89.2
"Victoria","Melbourne","75-79","female","Total participants",1159
"Victoria","Melbourne","75-79","female","Eligible participants",1390
"Victoria","Melbourne","75-79","female","Participation rate (%)",83.4
"Victoria","Melbourne Ports","75-79","female","Total participants",1353
"Victoria","Melbourne Ports","75-79","female","Eligible participants",1592
"Victoria","Melbourne Ports","75-79","female","Participation rate (%)",85
"Victoria","Menzies","75-79","female","Total participants",2484
"Victoria","Menzies","75-79","female","Eligible participants",2763
"Victoria","Menzies","75-79","female","Participation rate (%)",89.9
"Victoria","Murray","75-79","female","Total participants",2523
"Victoria","Murray","75-79","female","Eligible participants",2853
"Victoria","Murray","75-79","female","Participation rate (%)",88.4
"Victoria","Scullin","75-79","female","Total participants",1746
"Victoria","Scullin","75-79","female","Eligible participants",2037
"Victoria","Scullin","75-79","female","Participation rate (%)",85.7
"Victoria","Wannon","75-79","female","Total participants",2434
"Victoria","Wannon","75-79","female","Eligible participants",2688
"Victoria","Wannon","75-79","female","Participation rate (%)",90.6
"Victoria","Wills","75-79","female","Total participants",1865
"Victoria","Wills","75-79","female","Eligible participants",2259
